Date,Price
20210212,124.05
20210213,136.9
20210214,133.4
20210215,136.08
20210216,129.86
20210217,130.09
20210218,165.54
20210219,195.58
20210220,333.36
20210221,254.4
20210222,294.76
20210223,267.36
20210224,231.78
20210225,254.46
20210226,234.57
20210227,221.71
20210228,225.74
20210301,210.55
20210302,254.93
20210303,239.98
20210304,240.78
20210305,229.68
20210306,225.63
20210307,226.42
20210308,239.94
20210309,240.7
20210310,293.65
20210311,278.68
20210312,290.15
20210313,263.21
20210314,276.04
20210315,263.31
20210316,254.61
20210317,258.5
20210318,269.92
20210319,261.01
20210320,263.13
20210321,264.48
20210322,264.67
20210323,254.95
20210324,255.25
20210325,248.44
20210326,234.14
20210327,255.18
20210328,269.37
20210329,268.7
20210330,275.16
20210331,311.54
20210401,302.49
20210402,334.43
