Date,Price
20210212,530.03
20210213,577.25
20210214,668.31
20210215,722.92
20210216,715.65
20210217,706.38
20210218,717.22
20210219,704.69
20210220,719.9
20210221,679.2
20210222,707.24
20210223,629.63
20210224,516.53
20210225,527.52
20210226,499.2
20210227,484.91
20210228,484.26
20210301,460.73
20210302,501.76
20210303,517.76
20210304,522.24
20210305,505.44
20210306,498.71
20210307,500.66
20210308,516.71
20210309,529.25
20210310,545.61
20210311,546.97
20210312,549.77
20210313,538.49
20210314,593.63
20210315,552.85
20210316,523.7
20210317,529.12
20210318,541.43
20210319,528.29
20210320,532.41
20210321,536.1
20210322,523.72
20210323,509.2
20210324,510.51
20210325,474.22
20210326,473.32
20210327,505.9
20210328,500.54
20210329,497.18
20210330,518.17
20210331,525.68
20210401,541.55
20210402,556.03
