Date,Price
20210525,38378.96
20210526,39299.3583
20210527,38534.7717
20210528,35678.94
20210529,34613.67
20210530,35649.8283
20210531,37277.445
20210601,36681.7417
20210602,37583.65
20210603,39232.6517
20210604,36851.8417
20210605,35534.9267
20210606,35801.1317
20210607,33580.7767
20210608,33406.4817
20210609,37383.66
20210610,36683.9167
20210611,37338.0367
20210612,35545.9817
20210613,39018.0383
20210614,40518.6883
20210615,40160.7267
20210616,38344.7233
20210617,38087.2533
20210618,35814.6417
20210619,35519.7117
20210620,35605.68
20210621,31651.5733
20210622,32538.255
20210623,33690.375
20210624,34657.9733
20210625,31586.9033
20210626,32308.725
20210627,34708.96
20210628,34497.755
20210629,35918.88
20210630,35053.4183
20210701,33524.9833
20210702,33803.965
20210703,34684.1333
20210704,35287.2033
20210705,33694.795
20210706,34233.8467
20210707,33876.69
20210708,32869.9583
20210709,33805.3783
20210710,33513.4867
20210711,34254.0
20210712,33092.925
20210713,32727.9283
