Date,Price
20210129,103.17
20210130,104.5
20210131,105.12
20210201,102.41
20210202,103.56
20210203,109.91
20210204,116.95
20210205,111.1
20210206,120.64
20210207,119.02
20210208,118.39
20210209,126.45
20210210,137.71
20210211,139.68
20210212,164.85
20210213,170.07
20210214,267.84
20210215,230.9
20210216,259.53
20210217,249.66
20210218,265.99
20210219,281.09
20210220,324.19
20210221,297.73
20210222,301.63
20210223,271.82
20210224,231.29
20210225,237.52
20210226,218.15
20210227,206.76
20210228,211.13
20210301,197.13
20210302,224.79
20210303,216.01
20210304,222.84
20210305,211.1
20210306,205.83
20210307,208.82
20210308,214.81
20210309,218.43
20210310,244.6
20210311,234.69
20210312,235.46
20210313,225.13
20210314,243.25
20210315,231.16
20210316,221.05
20210317,223.77
20210318,229.45
20210319,226.01
