Date,Price
20210129,59.3
20210130,61.79
20210131,64.96
20210201,63.67
20210202,66.17
20210203,64.16
20210204,68.12
20210205,74.11
20210206,88.42
20210207,95.97
20210208,141.17
20210209,168.57
20210210,195.67
20210211,176.64
20210212,157.51
20210213,170.01
20210214,159.89
20210215,154.81
20210216,139.88
20210217,136.88
20210218,145.36
20210219,151.47
20210220,139.61
20210221,139.75
20210222,140.74
20210223,126.75
20210224,109.92
20210225,116.98
20210226,113.66
20210227,124.1
20210228,135.57
20210301,130.49
20210302,138.43
20210303,134.49
20210304,141.6
20210305,150.27
20210306,141.4
20210307,137.34
20210308,145.86
20210309,147.62
20210310,158.52
20210311,150.97
20210312,151.23
20210313,140.56
20210314,140.47
20210315,132.16
20210316,130.31
20210317,130.59
20210318,135.84
20210319,132.23
