Date,Price
20210302,1571.49
20210303,1488.67
20210304,1568.65
20210305,1538.37
20210306,1529.75
20210307,1651.48
20210308,1726.33
20210309,1834.48
20210310,1872.1
20210311,1795.63
20210312,1827.06
20210313,1767.77
20210314,1921.18
20210315,1848.69
20210316,1794.83
20210317,1805.64
20210318,1823.03
20210319,1776.16
20210320,1809.76
20210321,1805.49
20210322,1783.94
20210323,1682.05
20210324,1668.69
20210325,1583.24
20210326,1586.98
20210327,1699.89
20210328,1713.94
20210329,1686.74
20210330,1816.48
20210331,1841.4
20210401,1919.08
20210402,1967.67
20210403,2134.46
20210404,2009.19
20210405,2076.62
20210406,2107.73
20210407,2112.29
20210408,1964.18
20210409,2081.11
20210410,2066.55
20210411,2133.82
20210412,2150.54
20210413,2137.79
20210414,2298.66
20210415,2431.86
20210416,2517.08
20210417,2425.96
20210418,2318.01
20210419,2240.96
20210420,2163.36
