Date,Price
20210305,40.79
20210306,40.45
20210307,40.39
20210308,41.43
20210309,41.56
20210310,42.0
20210311,42.51
20210312,42.22
20210313,44.06
20210314,49.43
20210315,53.9
20210316,53.27
20210317,63.58
20210318,88.45
20210319,79.54
20210320,83.02
20210321,81.93
20210322,80.61
20210323,76.34
20210324,82.41
20210325,85.92
20210326,90.92
20210327,124.31
20210328,132.55
20210329,125.19
20210330,127.25
20210331,149.7
20210401,190.81
20210402,185.67
20210403,172.01
20210404,178.27
20210405,182.86
20210406,176.49
20210407,165.61
20210408,156.27
20210409,154.16
20210410,171.96
20210411,174.5
20210412,178.64
20210413,168.0
20210414,164.36
20210415,168.21
20210416,171.01
20210417,183.22
20210418,180.96
20210419,156.73
20210420,155.18
20210421,153.99
20210422,147.85
20210423,145.93
